,AP1_FurnaceZone0MasterTempOperatorSetpoint,AP1_FurnaceZone0MasterTempOperatorSetpoint,AP1_FurnaceZone0MasterTempSetpoint,AP1_FurnaceZone0MasterTempSetpoint,AP1_FurnaceZone1TemperatureSetpoint,AP1_FurnaceZone1TemperatureSetpoint,AP1_FurnaceZone2TemperatureSetpoint,AP1_FurnaceZone2TemperatureSetpoint,AP1_FurnaceZone3TemperatureSetpoint,AP1_FurnaceZone3TemperatureSetpoint,AP1_FurnaceZone4TemperatureSetpoint,AP1_FurnaceZone4TemperatureSetpoint,AP1_FurnaceZone5TemperatureSetpoint,AP1_FurnaceZone5TemperatureSetpoint,AP1_FurnaceZone6TemperatureSetpoint,AP1_FurnaceZone6TemperatureSetpoint,AP1_FurnaceZone7TemperatureSetpoint,AP1_FurnaceZone7TemperatureSetpoint,AP1_FurnaceZone8TemperatureSetpoint,AP1_FurnaceZone8TemperatureSetpoint
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
GradeWidthGuageSpeed,,,,,,,,,,,,,,,,,,,,
HighGoal-BigWidth-BigThickness-LowSpeed,1942.5016141262101,453.79523300590955,1942.5016141262101,453.79523300590955,2228.901220865705,86.00670924500542,2228.901220865705,86.00670924500542,2229.9499722067817,82.14905975500369,2228.7347391786902,87.31151732691285,2229.9499722067817,82.14905975500369,2228.7347391786902,87.31151732691285,2229.958310172318,82.07853842578527,2229.5358532518067,82.60341695397591
HighGoal-BigWidth-BigThickness-MediumSpeed,2300.0,0.0,2300.0,0.0,2286.904761904762,89.33639114834523,2286.904761904762,89.33639114834523,2297.983870967742,15.875015875023815,2285.3174603174602,101.76218725408914,2297.983870967742,15.875015875023815,2285.3174603174602,101.76218725408914,2296.451612903226,27.940027940041915,2296.451612903226,27.940027940041915
HighGoal-BigWidth-SmallThickness-HighSpeed,1824.7602011677589,371.7108958206826,1824.7602011677589,371.7108958206826,2054.2935667752445,65.54549216474119,2051.2235342019544,68.05592009942704,2057.011400651466,65.92399400872102,2051.366042345277,67.93129369523764,2056.9951140065145,65.92201756425953,2055.743078175896,65.16630419609533,2042.081466395112,78.17306700742184,2042.1873727087577,77.75332918328753
HighGoal-BigWidth-SmallThickness-LowSpeed,1909.498920740121,273.440935511017,1909.498920740121,273.440935511017,2053.157894736842,89.90814752750423,2046.733746130031,102.27655697230566,2053.0804953560373,89.96479482457823,2048.12693498452,98.48371867309903,2053.0804953560373,89.96479482457823,2053.157894736842,89.90814752750423,2060.201238390093,82.16427869892017,2060.201238390093,82.16427869892017
HighGoal-BigWidth-SmallThickness-MediumSpeed,1951.7507934570312,312.47486516167913,1951.703669204237,312.40093182529876,2103.0117647058823,84.55259093401375,2098.661176470588,94.65286475106419,2104.0707547169814,81.70787693242478,2099.2235294117645,93.97884830223973,2103.903818953324,81.85273931593024,2102.338823529412,87.79503943110508,2104.3281471004243,82.35870579138108,2104.249646059462,82.51092850395473
HighGoal-SmallWidth-BigThickness-LowSpeed,2147.439073880735,181.55173071014767,2147.439073880735,181.55173071014767,2184.4051446945336,77.21662613410403,2184.3837084673096,77.25117025320283,2184.4051446945336,77.21662613410403,2184.4078242229366,77.24120726404226,2184.4292604501607,77.20665198799522,2184.4292604501607,77.20665198799522,2185.9833869239014,73.91764305239064,2186.0155412647373,73.89326607847572
HighGoal-SmallWidth-BigThickness-MediumSpeed,2211.202238769531,68.60954464348832,2211.202238769531,68.60954464348832,2220.0434782608695,68.28528536555895,2220.0434782608695,68.28528536555895,2220.0434782608695,68.28528536555895,2220.0434782608695,68.28528536555895,2220.0434782608695,68.28528536555895,2220.0434782608695,68.28528536555895,2221.3478260869565,66.91525546889436,2221.3478260869565,66.91525546889436
HighGoal-SmallWidth-SmallThickness-HighSpeed,2023.6430606445313,278.47589619220764,2023.6430606445313,278.47589619220764,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.6666666666665,59.24624161834953,2100.5502392344497,63.809885954057876,2103.1020733652313,57.438555408814366,2103.1020733652313,57.438555408814366
