,AP1_FurnaceZone0MasterTempOperatorSetpoint,AP1_FurnaceZone0MasterTempOperatorSetpoint,AP1_FurnaceZone0MasterTempSetpoint,AP1_FurnaceZone0MasterTempSetpoint,AP1_FurnaceZone1TemperatureSetpoint,AP1_FurnaceZone1TemperatureSetpoint,AP1_FurnaceZone2TemperatureSetpoint,AP1_FurnaceZone2TemperatureSetpoint,AP1_FurnaceZone3TemperatureSetpoint,AP1_FurnaceZone3TemperatureSetpoint,AP1_FurnaceZone4TemperatureSetpoint,AP1_FurnaceZone4TemperatureSetpoint,AP1_FurnaceZone5TemperatureSetpoint,AP1_FurnaceZone5TemperatureSetpoint,AP1_FurnaceZone6TemperatureSetpoint,AP1_FurnaceZone6TemperatureSetpoint,AP1_FurnaceZone7TemperatureSetpoint,AP1_FurnaceZone7TemperatureSetpoint,AP1_FurnaceZone8TemperatureSetpoint,AP1_FurnaceZone8TemperatureSetpoint
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
GradeWidthSpeed,,,,,,,,,,,,,,,,,,,,
HighGoal-BigWidth-HighSpeed,1824.7602011677589,371.7108958206826,1824.7602011677589,371.7108958206826,2054.2935667752445,65.54549216474119,2051.2235342019544,68.05592009942704,2057.011400651466,65.92399400872102,2051.366042345277,67.93129369523764,2056.9951140065145,65.92201756425953,2055.743078175896,65.16630419609533,2042.081466395112,78.17306700742184,2042.1873727087577,77.75332918328753
HighGoal-BigWidth-LowSpeed,1933.6057639310638,413.1455405292256,1933.6057639310638,413.1455405292256,2202.1882352941175,107.14773823462384,2201.211764705882,110.17033273788077,2203.0278039585296,104.82517575795303,2201.2823529411767,110.18555781394438,2203.0278039585296,104.82517575795303,2202.0470588235294,108.00394360109519,2204.118755890669,102.25637339461596,2203.760603204524,102.52387950223566
HighGoal-BigWidth-MediumSpeed,1963.5558513059455,313.532768977657,1963.5103244854492,313.4633001712692,2108.306672760512,90.08633064804472,2104.081352833638,99.59280038726816,2109.5806599450048,86.78709397607165,2104.581809872029,99.19703309323657,2109.415941365094,86.9277287745375,2107.607404021938,93.36064111595256,2109.7846999541916,87.35600646087944,2109.7134342044933,87.50451075235019
HighGoal-SmallWidth-HighSpeed,2023.6430606445313,278.47589619220764,2023.6430606445313,278.47589619220764,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.7065390749603,59.30405762763549,2101.6666666666665,59.24624161834953,2100.5502392344497,63.809885954057876,2103.1020733652313,57.438555408814366,2103.1020733652313,57.438555408814366
HighGoal-SmallWidth-LowSpeed,2132.4848038110977,203.8370975906945,2132.4848038110977,203.8370975906945,2179.8438313378447,83.53954636565794,2179.8230088495575,83.56942542671074,2179.817803227486,83.5877976264878,2179.8204060385215,83.60999815638164,2179.841228526809,83.58013424845602,2179.841228526809,83.58013424845602,2182.566371681416,77.40921358413281,2182.597605413847,77.38798339167087
HighGoal-SmallWidth-MediumSpeed,1753.6633900811196,420.7432630156648,1753.6633900811196,420.7432630156648,2132.2428571428572,74.50147676048724,2131.9666666666667,74.98975991951619,2132.2428571428572,74.50147676048724,2131.9857142857145,74.97400112266557,2132.2428571428572,74.50147676048724,2132.2428571428572,74.50147676048724,2086.0666666666666,120.6370338276252,2086.0666666666666,120.6370338276252
LowGoal-BigWidth-HighSpeed,1287.6513638196357,73.83648502538114,1287.6513638196357,73.83648502538114,1854.0018832391713,35.00561414827264,1854.0018832391713,35.00561414827264,1854.745042492918,32.37497635551149,1853.7429378531074,37.41653384193243,1855.3682719546741,32.277394893533895,1853.3097928436912,37.58798761022789,1788.6827195467422,38.627656352918734,1787.6628895184135,37.430346800238105
LowGoal-BigWidth-LowSpeed,1499.070539686415,106.29387798408465,1499.070539686415,106.29387798408465,1955.15625,44.17649261768062,1953.984375,45.296025330201786,1953.984375,45.296025330201786,1953.984375,45.296025330201786,1953.984375,45.296025330201786,1953.984375,45.296025330201786,1786.953125,86.89355460187599,1788.515625,84.34001332239752
LowGoal-BigWidth-MediumSpeed,1451.0352768909177,99.57894151741837,1451.0352768909177,99.57894151741837,1949.7049441786285,36.69928777401377,1949.7049441786285,36.69928777401377,1949.7049441786285,36.69928777401377,1949.7049441786285,36.69928777401377,1949.688995215311,36.692626076825185,1949.2424242424242,36.92915139652746,1833.88178913738,68.2280558409359,1833.1230031948883,68.52175746437314
LowGoal-SmallWidth-HighSpeed,1258.6819765444154,23.259089923054155,1258.6819765444154,23.259089923054155,1894.264705882353,32.09205745885897,1894.2279411764705,32.07969018994543,1895.3136531365315,26.666551352764355,1893.8970588235295,35.830634692417625,1895.3505535055351,26.679975666112572,1891.5073529411766,38.940392772508055,1807.7121771217712,39.68307549570899,1807.7490774907749,39.596433493966636
LowGoal-SmallWidth-LowSpeed,1369.3939501953125,173.58526594880243,1369.3939501953125,173.58526594880243,1960.8727272727272,24.922547573860577,1960.8727272727272,24.922547573860577,1960.8727272727272,24.922547573860577,1960.8727272727272,24.922547573860577,1960.2545454545455,24.623603137096474,1955.6363636363637,23.995409868510468,1765.2,58.50678418457521,1765.1636363636364,58.52093132193798
LowGoal-SmallWidth-MediumSpeed,1467.5500827955163,110.41894129109797,1467.5500827955163,110.41894129109797,1960.8655804480652,28.86658715007734,1960.8655804480652,28.86658715007734,1961.6020408163265,23.835556174711883,1960.661914460285,31.637612522491025,1961.2551020408164,23.7037403209767,1960.081466395112,31.553218450421046,1788.4285714285713,90.04418365571993,1786.5714285714287,85.42974487140563
